Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
PSE,2021,2,98408,Total Arrearages,255688.93
PSE,2022,6,98058,90 Days +,850525.419999999
PSE,2022,12,98007,Total Arrearages,553980.539999999
CNG,2024,4,98942,60 Days,11741.92
PSE,2025,4,98106,60 Days,22448.81
Avista,2022,9,99181,30 Days,7631.31
Avista,2023,3,99125,60 Days,5493.89
PSE,2021,4,98204,Total Arrearages,99182.54
NWN,2020,8,98648,30 Days,0.0
PSE,2025,1,98444,Total Arrearages,256683.06
CNG,2023,5,99350,30 Days,3925.17
PSE,2022,1,98249,30 Days,10399.11
PSE,2021,3,98038,90 Days +,295513.58
Avista,2024,7,99403,30 Days,28125.05
PSE,2024,12,98443,60 Days,803.55
CNG,2021,8,98611,30 Days,0.0
PSE,2023,2,98338,30 Days,126167.059999999
PSE,2025,6,98042,60 Days,238607.28
Avista,2021,4,99206,60 Days,45547.38
CNG,2021,9,98220,60 Days,54.41
PSE,2020,5,98591,90 Days +,94.82
PSE,2023,5,98597,30 Days,289148.4
NWN,2022,12,98620,30 Days,0.0
PSE,2021,4,98158,90 Days +,4853.69
Avista,2020,4,99113,60 Days,303.47
Avista,2024,8,99004,30 Days,7715.96
NWN,2020,3,98664,30 Days,30560.97
